user_id,ps_score_value,ps_score_cat,verbal_score_value,verbal_score_cat,visual_score_value,visual_score_cat
101,40,Low,5.0,High,1.2,Low
102,53,High,5.0,High,2.4,High
103,55,High,4.0,Low,2.4,High
104,40,Low,5.0,High,1.6,Low
105,55,High,6.0,High,2.0,High
106,55,High,5.0,High,2.4,High
107,41,Low,6.0,High,2.4,High
108,41,Low,5.0,High,3.2,High
109,45,High,5.0,High,0.8,Low
110,38,Low,5.0,High,0.8,Low
111,55,High,3.0,Low,4.0,High
112,51,High,6.0,High,4.8,High
113,54,High,6.0,High,2.8,High
114,53,High,4.0,Low,0.8,Low
115,47,High,6.0,High,0.0,Low
116,45,High,5.0,High,1.2,Low
117,63,High,5.0,High,0.8,Low
118,45,High,5.0,High,1.2,Low
119,43,Low,5.0,High,3.2,High
120,37,Low,5.0,High,2.8,High
121,39,Low,4.0,Low,2.0,High
122,43,Low,5.0,High,1.6,Low
123,43,Low,4.0,Low,2.0,High
124,42,Low,4.0,Low,0.8,Low
125,45,High,4.0,Low,2.0,High
126,31,Low,6.0,High,2.4,High
127,42,Low,5.0,High,3.2,High
128,53,High,4.0,Low,5.2,High
129,42,Low,5.0,High,0.0,Low
130,35,Low,6.0,High,2.8,High
131,41,Low,3.0,Low,0.8,Low
132,48,High,6.0,High,3.2,High
133,63,High,5.0,High,2.8,High
134,53,High,6.0,High,1.6,Low
135,45,High,5.0,High,2.0,High
136,52,High,5.0,High,0.0,Low
137,36,Low,4.0,Low,1.6,Low
138,42,Low,4.0,Low,0.0,Low
139,50,High,5.0,High,0.4,Low
140,47,High,4.0,Low,0.4,Low
141,41,Low,4.0,Low,2.4,High
142,41,Low,4.0,Low,1.6,Low
144,49,High,4.0,Low,1.2,Low
145,42,Low,5.0,High,4.4,High
146,58,High,5.0,High,2.8,High
147,39,Low,5.0,High,2.0,High
148,37,Low,5.0,High,1.6,Low
149,34,Low,6.0,High,2.8,High
150,47,High,5.0,High,2.4,High
151,43,Low,3.0,Low,0.0,Low
152,44,High,4.0,Low,2.4,High
153,43,Low,4.0,Low,4.0,High
154,45,High,5.0,High,1.6,Low
155,51,High,4.0,Low,1.6,Low
156,32,Low,4.0,Low,2.8,High
157,41,Low,4.0,Low,0.4,Low
158,44,High,4.0,Low,2.8,High
159,47,High,4.0,Low,2.4,High
160,44,High,3.0,Low,1.2,Low
161,55,High,4.0,Low,3.2,High
162,52,High,5.0,High,2.4,High
